species,food_source,gene_count
Anastrepha_ludens,Plants,2
Anastrepha_obliqua,Plants,2
Ceratitis_capitata,Plants,2
Zeugodacus_cucurbitae,Plants,2
Bactrocera_tryoni,Plants,2
Bactrocera_dorsalis,Plants,2
Bactrocera_latifrons,Plants,2
Glossina_fuscipes,Blood,3
Calliphora_vicina,Detritivore,3
Lucilia_cuprina,Detritivore,2
Lucilia_sericata,Detritivore,3
Stomoxys_calcitrans,Detritivore,3
Musca_domestica,Detritivore,4
Musca_vetustissima,Detritivore,3
Scaptodrosophila_lebanonensis,Detritivore,5
Drosophila_sulfurigaster_albostrigata,Detritivore,6
Drosophila_albomicans,Detritivore,6
Drosophila_nasuta,Detritivore,6
Drosophila_grimshawi,Detritivore,5
Drosophila_montana,Detritivore,7
Drosophila_novamexicana,Detritivore,6
Drosophila_virilis,Detritivore,6
Drosophila_hydei,Detritivore,4
Drosophila_navojoa,Detritivore,4
Drosophila_arizonae,Detritivore,1
Drosophila_mojavensis,Detritivore,5
Drosophila_obscura,Detritivore,5
Drosophila_guanche,Detritivore,6
Drosophila_subobscura,Detritivore,5
Drosophila_miranda,Detritivore,9
Drosophila_persimilis,Detritivore,5
Drosophila_pseudoobscura,Detritivore,5
Drosophila_ananassae,Detritivore,5
Drosophila_bipectinata,Detritivore,6
Drosophila_kikkawai,Detritivore,5
Drosophila_serrata,Detritivore,5
Drosophila_ficusphila,Detritivore,4
Drosophila_elegans,Detritivore,4
Drosophila_rhopaloa,Detritivore,5
Drosophila_takahashii,Detritivore,5
Drosophila_biarmipes,Detritivore,5
Drosophila_subpulchrella,Detritivore,4
Drosophila_suzukii,Detritivore,4
Drosophila_eugracilis,Detritivore,5
Drosophila_melanogaster,Detritivore,5
Drosophila_erecta,Detritivore,6
Drosophila_teissieri,Detritivore,5
Drosophila_yakuba,Detritivore,5
Drosophila_sechellia,Detritivore,5
Drosophila_mauritiana,Detritivore,5
Drosophila_simulans,Detritivore,5
