species	speciations	duplications	losses
Node_Anopheles_bellator_Anopheles_cruzii_0	2	0	2
Node_Anopheles_bellator_Anopheles_darlingi_0	4	0	4
Node_Anopheles_bellator_Anopheles_maculipalpis_0	8	1	0
Node_Anopheles_coluzzii_Anopheles_gambiae_0	5	0	1
Node_Anopheles_coustani_Anopheles_bellator_0	7	0	1
Node_Anopheles_coustani_Anopheles_ziemanni_0	2	1	6
Node_Anopheles_darlingi_Anopheles_albimanus_0	4	0	0
Node_Anopheles_funestus_Anopheles_moucheti_0	5	0	2
Node_Anopheles_maculipalpis_Anopheles_nili_0	10	2	0
Node_Anopheles_maculipalpis_Anopheles_stephensi_0	7	0	3
Node_Anopheles_merus_Anopheles_arabiensis_0	5	0	4
Node_Anopheles_nili_Anopheles_funestus_0	7	0	2
Node_Anopheles_nili_Anopheles_merus_0	9	1	2
Node_Anoplophora_glabripennis_Gonioctena_quinquepunctata_0	6	0	1
Node_Anthonomus_grandis_grandis_Dendroctonus_ponderosae_0	5	1	2
Node_Anthonomus_grandis_grandis_Rhynchophorus_ferrugineus_0	6	0	0
Node_Aphidius_gifuensis_Chelonus_insularis_0	1	0	0
Node_Aphidius_gifuensis_Fopius_arisanus_0	0	0	1
Node_Apolygus_lucorum_Cimex_lectularius_0	4	0	2
Node_Arctia_plantaginis_Trichoplusia_ni_0	5	0	0
Node_Aricia_agestis_Danaus_plexippus_0	6	0	1
Node_Armigeres_subalbatus_Aedes_aegypti_0	9	1	1
Node_Athalia_rosae_Cephus_cinctus_0	4	0	10
Node_Athalia_rosae_Chrysoperla_carnea_0	14	0	0
Node_Athalia_rosae_Diprion_similis_0	3	0	1
Node_Bacillus_rossius_redtenbacheri_Blattella_germanica_0	8	1	5
Node_Bactrocera_dorsalis_Bactrocera_latifrons_0	15	0	0
Node_Bactrocera_tryoni_Bactrocera_dorsalis_0	15	4	2
Node_Belonocnema_kinseyi_Polistes_dominula_0	1	0	0
Node_Belonocnema_kinseyi_Trichogramma_pretiosum_0	0	0	1
Node_Belonocnema_kinseyi_Venturia_canescens_0	1	0	0
Node_Bemisia_tabaci_Planococcus_citri_0	1	0	6
Node_Bicyclus_anynana_Brenthis_ino_0	6	0	0
Node_Bicyclus_anynana_Maniola_hyperantus_0	4	0	2
Node_Bicyclus_anynana_Pararge_aegeria_0	4	0	0
Node_Blattella_germanica_Periplaneta_americana_0	9	2	1
Node_Bombyx_mandarina_Bombyx_mori_0	2	0	1
Node_Bradysia_coprophila_Contarinia_nasturtii_0	3	0	7
Node_Bradysia_coprophila_Hermetia_illucens_0	10	0	2
Node_Brenthis_ino_Melitaea_cinxia_0	4	1	3
Node_Calliphora_vicina_Lucilia_cuprina_0	17	5	5
Node_Calliphora_vicina_Stomoxys_calcitrans_0	17	6	0
Node_Cephus_cinctus_Orussus_abietinus_0	2	0	2
Node_Ceratitis_capitata_Zeugodacus_cucurbitae_0	15	0	1
Node_Chelonus_insularis_Cotesia_glomerata_0	1	0	0
Node_Chilo_suppressalis_Achroia_grisella_0	7	0	1
Node_Chilo_suppressalis_Manduca_sexta_0	8	0	3
Node_Chilo_suppressalis_Ostrinia_furnacalis_0	5	0	2
Node_Chilo_suppressalis_Parnassius_apollo_0	11	1	0
Node_Chrysoperla_carnea_Agrilus_planipennis_0	10	0	5
Node_Chrysoperla_carnea_Plutella_xylostella_0	15	3	2
