species_label	speciations	duplications	losses
Node_Anopheles_coluzzii_Anopheles_gambiae_0	2	0	0
Node_Anopheles_coustani_Anopheles_bellator_0	3	1	0
Node_Anopheles_coustani_Anopheles_ziemanni_0	2	0	1
Node_Anopheles_darlingi_Anopheles_albimanus_0	2	0	0
Node_Anopheles_funestus_Anopheles_moucheti_0	2	0	0
Node_Anopheles_maculipalpis_Anopheles_nili_0	2	0	1
Node_Anopheles_maculipalpis_Anopheles_stephensi_0	2	0	0
Node_Anopheles_merus_Anopheles_arabiensis_0	2	0	0
Node_Anopheles_nili_Anopheles_funestus_0	2	0	0
Node_Anopheles_nili_Anopheles_merus_0	2	0	0
Node_Anoplophora_glabripennis_Gonioctena_quinquepunctata_0	4	0	0
Node_Anthonomus_grandis_grandis_Dendroctonus_ponderosae_0	1	0	1
Node_Anthonomus_grandis_grandis_Rhynchophorus_ferrugineus_0	2	0	0
Node_Aphidius_gifuensis_Chelonus_insularis_0	3	0	0
Node_Aphidius_gifuensis_Fopius_arisanus_0	2	0	1
Node_Aphis_craccivora_Aphis_gossypii_0	3	0	0
Node_Aphis_craccivora_Rhopalosiphum_maidis_0	3	0	0
Node_Apis_cerana_Apis_dorsata_0	1	0	0
Node_Apis_cerana_Apis_mellifera_0	1	0	0
Node_Apis_dorsata_Apis_laboriosa_0	1	0	0
Node_Apis_florea_Apis_cerana_0	1	0	0
Node_Apolygus_lucorum_Cimex_lectularius_0	3	0	0
Node_Arctia_plantaginis_Trichoplusia_ni_0	6	0	1
Node_Aricia_agestis_Danaus_plexippus_0	7	0	1
Node_Armigeres_subalbatus_Aedes_aegypti_0	2	0	0
Node_Athalia_rosae_Cephus_cinctus_0	3	0	9
Node_Athalia_rosae_Chrysoperla_carnea_0	12	0	2
Node_Athalia_rosae_Diprion_similis_0	1	0	2
Node_Atta_cephalotes_Atta_colombica_0	3	0	0
Node_Bacillus_rossius_redtenbacheri_Blattella_germanica_0	7	1	2
Node_Bactrocera_dorsalis_Bactrocera_latifrons_0	2	0	0
Node_Bactrocera_tryoni_Bactrocera_dorsalis_0	2	0	0
Node_Belonocnema_kinseyi_Leptopilina_heterotoma_0	2	0	1
Node_Belonocnema_kinseyi_Polistes_dominula_0	4	0	0
Node_Belonocnema_kinseyi_Trichogramma_pretiosum_0	3	0	1
Node_Belonocnema_kinseyi_Venturia_canescens_0	4	0	0
Node_Bemisia_tabaci_Planococcus_citri_0	6	0	3
Node_Bicyclus_anynana_Brenthis_ino_0	6	0	1
Node_Bicyclus_anynana_Maniola_hyperantus_0	4	0	2
Node_Bicyclus_anynana_Pararge_aegeria_0	3	0	1
Node_Blattella_germanica_Periplaneta_americana_0	7	1	1
Node_Bombus_affinis_Apis_florea_0	1	0	0
Node_Bombus_affinis_Bombus_terrestris_0	1	0	0
Node_Bombus_affinis_Frieseomelitta_varia_0	1	0	0
Node_Bombyx_mandarina_Bombyx_mori_0	3	0	2
Node_Bradysia_coprophila_Contarinia_nasturtii_0	3	0	4
Node_Bradysia_coprophila_Hermetia_illucens_0	7	0	1
Node_Brenthis_ino_Melitaea_cinxia_0	5	0	1
Node_Calliphora_vicina_Lucilia_cuprina_0	2	0	0
Node_Calliphora_vicina_Stomoxys_calcitrans_0	2	0	1
Node_Camponotus_floridanus_Cataglyphis_hispanica_0	4	0	0
Node_Cataglyphis_hispanica_Formica_exsecta_0	3	0	1
